Sir Ganga Ram,Ultimaster Nagomi,2.5mm,B114,S1014,11/06/28,25/10/30
Manipal Hospital,Synergy Megatron,3.25mm,B103,S1096,08/07/26,27/02/28
Manipal Hospital,Resolute Onyx,4.0mm,B121,S1086,21/08/25,08/10/28
Apollo Hospital,Orsiro Mission,3.25mm,B123,S1036,05/04/29,07/07/30
Lilavati Hospital,Xience Alpine,2.5mm,B101,S1066,02/06/26,02/11/28
Kokilaben Dhirubhai,MiStent SES,3.5mm,B114,S1029,26/03/27,01/05/29
Medanta Medicity,Resolute Onyx,2.5mm,B108,S1108,26/12/30,25/07/30
AIIMS Delhi,Resolute Onyx,3.25mm,B120,S1138,08/03/24,21/11/30
Lilavati Hospital,Synergy Megatron,4.0mm,B105,S1075,24/10/28,04/01/28
Lilavati Hospital,Ultimaster Nagomi,2.75mm,B119,S1107,06/02/26,24/06/28
Kokilaben Dhirubhai,Ultimaster Nagomi,2.5mm,B117,S1140,09/09/29,05/11/30
Kokilaben Dhirubhai,Xience Alpine,3.25mm,B128,S1121,27/06/24,03/03/30
Manipal Hospital,Orsiro Mission,4.0mm,B101,S1092,03/10/24,07/12/29
Max Saket,Resolute Onyx,3.5mm,B124,S1194,23/09/27,30/09/28
Apollo Hospital,Ultimaster Nagomi,3.5mm,B111,S1165,18/12/25,09/08/30
Sir Ganga Ram,Promus Premier,2.75mm,B103,S1184,17/02/29,16/03/28
Medanta Medicity,Synergy Megatron,2.5mm,B126,S1052,20/06/24,08/10/29
Medanta Medicity,Supraflex Cruz,3.25mm,B127,S1140,23/04/29,02/06/29
Apollo Hospital,Synergy Megatron,3.0mm,B112,S1013,21/09/27,13/07/29
AIIMS Delhi,Ultimaster Nagomi,3.25mm,B129,S1103,06/12/28,02/03/30
Manipal Hospital,Promus Premier,3.25mm,B123,S1128,13/02/28,29/11/30
Medanta Medicity,Resolute Onyx,4.0mm,B114,S1021,29/10/28,04/01/29
Kokilaben Dhirubhai,Orsiro Mission,3.0mm,B104,S1021,05/09/27,28/08/29
Medanta Medicity,Yukon Choice PC,3.5mm,B123,S1110,13/11/25,28/06/30
Manipal Hospital,Yukon Choice PC,2.5mm,B124,S1091,23/11/30,09/06/30
Medanta Medicity,Xience Alpine,2.5mm,B122,S1164,21/07/28,14/01/30
Kokilaben Dhirubhai,Promus Premier,2.5mm,B105,S1156,29/11/28,12/03/28
Fortis Gurgaon,Resolute Onyx,2.75mm,B125,S1166,09/02/28,11/01/30
Narayana Health,MiStent SES,2.5mm,B120,S1040,16/01/29,29/01/30
Manipal Hospital,Yukon Choice PC,2.5mm,B119,S1036,08/12/29,21/01/30
Narayana Health,Ultimaster Nagomi,4.0mm,B109,S1064,09/04/25,23/02/28
Fortis Gurgaon,Yukon Choice PC,3.5mm,B113,S1144,27/04/25,20/06/29
Medanta Medicity,Yukon Choice PC,2.75mm,B120,S1074,04/07/29,13/02/29
AIIMS Delhi,Promus Premier,2.5mm,B115,S1045,28/12/28,28/06/28
Manipal Hospital,Ultimaster Nagomi,4.0mm,B103,S1141,29/01/30,17/08/29
Medanta Medicity,Promus Premier,4.0mm,B123,S1180,14/12/25,10/01/30
Kokilaben Dhirubhai,Synergy Megatron,2.5mm,B107,S1036,27/08/26,08/10/30
Apollo Hospital,Ultimaster Nagomi,3.5mm,B119,S1095,29/03/29,22/09/28
Lilavati Hospital,Resolute Onyx,2.5mm,B110,S1102,14/05/29,12/12/30
Narayana Health,BioMatrix Alpha,3.5mm,B103,S1033,22/07/27,31/05/28
Sir Ganga Ram,Yukon Choice PC,4.0mm,B117,S1089,09/06/25,07/01/29
Fortis Gurgaon,BioMatrix Alpha,3.5mm,B128,S1015,23/05/25,27/11/30
Fortis Gurgaon,Orsiro Mission,2.75mm,B106,S1083,12/07/26,09/12/29
